cospine@cospine-virtual-machine:~/Executable$ sudo docker exec -it 7a45469e3e03 /bin/bash
root@7a45469e3e03:/crypto_scout# sh plugin.sh -i P3
0x48e01942df371639a9ff71659899e3410d15ff826c267bb4d7d622d558436671 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0xce853db3359326dB6D03981C9fb42983BbCdd007 0x6586ddF4A8dC7002FF78a2c78dfd0a68db9c1C4d stolen depositToken 160162.7
0x261391614b22ce6c549af28308aace3e66c84683d042d64ea505b450e42dcef9 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x07e76A4c93ea197cB578fef37d046972890df61B 0x3eFdc968cB51BF6e8A7864451149334f945648dC stolen depositToken 2.201799999999996426
0x203e9518e0d4bffe09c6c789952782fc0edc1ca059188000a156ff119e1a425e 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x52903256dd18D85c2Dc4a6C999907c9793eA61E3 0x7FFA3C9371042Bc23976724621f43A606B4a3424 stolen depositToken 5.789604461865809771178549250E+76
0x25d1093f70b5bbc36ecf031efc59e31dc401a105bc4b20c6dbf0be4e3706a10c 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0xBA5F11b16B155792Cf3B2E6880E8706859A8AEB6 0xDe2515D3a4070Ed457c003A45a174333b4690201 frozen withdrawToken 68.34
0x6fbb71b1700aab18c4ebb8ec6155971b05b056738712a02e0415c9abc1c95567 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0xce853db3359326dB6D03981C9fb42983BbCdd007 0x389Fd36aDe499b71da9FD651D092e6a167eb3cEc stolen depositToken 160162.7
0x4e2366ac5ca39f3b98925b54e1a43255046bdbccaadadcc42a41b0c3d3836b06 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0xce853db3359326dB6D03981C9fb42983BbCdd007 0x389Fd36aDe499b71da9FD651D092e6a167eb3cEc stolen depositToken 160162.7
0x956f1e5be34c6992081a61d58f9a026638cd3d860f27a53af5a2d92a36d6f015 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x52514e3acAeb06cAB050a69B025083082Ebe5B54 0x6CdEa8E07Bf82d7a07DBF36642D6e5bE8623845C stolen withdrawToken 1000000
0xad740639d7647fa24023367170dbbc7bb9ee2a11baa7aef8cc307c1cf64cc01a 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x52514e3acAeb06cAB050a69B025083082Ebe5B54 0x6CdEa8E07Bf82d7a07DBF36642D6e5bE8623845C stolen withdrawToken 1000000000
0x73f281095c9d1054c7c96bb231930ed3a785529a9be02d5b14470c6166b6918c 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x86c8bF8532AA2601151c9DbbF4e4C4804e042571 0x3D3DbbFf86429824DD6bE7208fca33f29dF0D33B stolen depositToken 20000
0xa76569324a9f8d3f48f4c129c85e8288f2e1bfeefaa227679d1ac56fc91d120f 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x86c8bF8532AA2601151c9DbbF4e4C4804e042571 0x389Fd36aDe499b71da9FD651D092e6a167eb3cEc stolen depositToken 20000
0x6102eb6dc2208585c2b97724a2def03d5eb2a1c7397d2fe2aa1fa224dfe5ed77 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x86c8bF8532AA2601151c9DbbF4e4C4804e042571 0xdC0d8F59178467AB7cb99fba0B4b6594B80fa525 stolen depositToken 20000
0xea79e0bb015adada22844df71ba9271c0e43a7ae2941e026bc8bba63f7edc450 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x86c8bF8532AA2601151c9DbbF4e4C4804e042571 0x389Fd36aDe499b71da9FD651D092e6a167eb3cEc stolen depositToken 20000
0x65f496b9ccec9e7bd4e083108ccc31e6cac385109e90a05c63ca2726ff730545 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x07e76A4c93ea197cB578fef37d046972890df61B 0xcd33789720B00AD5Db15aC30fb1D546f2AE49245 stolen withdrawToken 0.1
0xba6dc7b1fdb52d1845b5707902b7d87b863a2c065a34bcd45e16ba26e3212569 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x86c8bF8532AA2601151c9DbbF4e4C4804e042571 0x2A32E84d4f1A466f66B6b3544907f7Bed1C1d12f stolen depositToken 20000
0x8bf6f52366d0de4694773c1567dd9ad65f485336321e25e6741338475c036dfa 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0xce853db3359326dB6D03981C9fb42983BbCdd007 0xD47c41a290415b85E2c850812481e2BD7CD24Abc stolen depositToken 160162.7
0x1881af5855f7b7f839aebbec6c4c112c6831e05c3b08c05382556e57b4a808bd 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0xce853db3359326dB6D03981C9fb42983BbCdd007 0xe1b70Fc15811F1D1E8993eCc765adEd8531024FF stolen depositToken 160162.7
0x1fbe2672dbc12136cd4949c8e148f6295b092f1c9859a6bf3e997211000a6060 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0x52514e3acAeb06cAB050a69B025083082Ebe5B54 0x4df277260608a0d90A7bb475b46cd7f13685bD02 stolen withdrawToken 519300
0x660b740827785f588413e7a4466cee53c893a08e979d537a0b73e99bc38da6d6 0x8d12A197cB00D4747a1fe03395095ce2A5CC6819 0xce853db3359326dB6D03981C9fb42983BbCdd007 0xB1CAed09Db774788627611eF677EcD92190b0B90 stolen depositToken 90081.35
